2018-11-08 16:11:199 INFO  Log4j:18 - click the Organization 
2018-11-08 16:11:17 INFO  Log4j:18 - click the hierarchy
2018-11-08 16:11:857 INFO  Log4j:18 - click_Departments
2018-11-08 16:11:211 INFO  Log4j:18 - Sl.No---- feture is present in table
2018-11-08 16:11:211 INFO  Log4j:18 - Company Name---- feture is present in table
2018-11-08 16:11:211 INFO  Log4j:18 - Role---- feture is present in table
2018-11-08 16:11:212 INFO  Log4j:18 - User Hierarchy---- feture is present in table
2018-11-08 16:11:212 INFO  Log4j:18 - Level---- feture is present in table
2018-11-08 16:11:212 INFO  Log4j:18 - Reporting to---- feture is present in table
2018-11-08 16:11:212 INFO  Log4j:18 - Status---- feture is present in table
2018-11-08 16:11:213 INFO  Log4j:18 - Action---- feture is present in table
