2018-10-25 11:10:897 INFO  Log4j:13 - clickhomebutton
2018-10-25 11:10:504 INFO  Log4j:13 - clickProjectSetUp
2018-10-25 11:10:85 INFO  Log4j:13 -  clickFlowEdit buttion
2018-10-25 11:10:384 INFO  Log4j:13 - click on the ProjectManagement_upperbord
2018-10-25 11:10:671 INFO  Log4j:13 - clickOn_projuctManagement_lowerbord
2018-10-25 11:10:904 INFO  Log4j:13 - clickon_USERS_Upperbord
2018-10-25 11:10:139 INFO  Log4j:13 - clickOn_User_Lowerbord
2018-10-25 11:10:427 INFO  Log4j:13 - clickOn_Manager_Upperbord
2018-10-25 11:10:668 INFO  Log4j:13 - clickOn_Manager_Lowerbord
2018-10-25 11:10:870 INFO  Log4j:13 - clickOn_Manager_Editoption
2018-10-25 11:10:82 INFO  Log4j:13 - delete button clicked 
2018-10-25 11:10:529 INFO  Log4j:13 - delete_Manager
